,county,state,FIPS Code
0,Autauga County,AL,1001
13,Baldwin County,AL,1003
41,Barbour County,AL,1005
50,Bibb County,AL,1007
62,Blount County,AL,1009
79,Bullock County,AL,1011
88,Butler County,AL,1013
97,Calhoun County,AL,1015
116,Chambers County,AL,1017
126,Cherokee County,AL,1019
137,Chilton County,AL,1021
151,Choctaw County,AL,1023
162,Clarke County,AL,1025
173,Clay County,AL,1027
185,Cleburne County,AL,1029
194,Coffee County,AL,1031
210,Colbert County,AL,1033
219,Conecuh County,AL,1035
234,Coosa County,AL,1037
244,Covington County,AL,1039
258,Crenshaw County,AL,1041
271,Cullman County,AL,1043
292,Dale County,AL,1045
306,Dallas County,AL,1047
316,DeKalb County,AL,1049
340,Elmore County,AL,1051
355,Escambia County,AL,1053
365,Etowah County,AL,1055
382,Fayette County,AL,1057
393,Franklin County,AL,1059
404,Geneva County,AL,1061
419,Greene County,AL,1063
428,Hale County,AL,1065
437,Henry County,AL,1067
445,Houston County,AL,1069
460,Jackson County,AL,1071
481,Jefferson County,AL,1073
570,Lamar County,AL,1075
579,Lauderdale County,AL,1077
591,Lawrence County,AL,1079
600,Lee County,AL,1081
617,Limestone County,AL,1083
634,Lowndes County,AL,1085
643,Macon County,AL,1087
658,Madison County,AL,1089
698,Marengo County,AL,1091
717,Marion County,AL,1093
729,Marshall County,AL,1095
748,Mobile County,AL,1097
799,Monroe County,AL,1099
817,Montgomery County,AL,1101
856,Morgan County,AL,1103
872,Perry County,AL,1105
880,Pickens County,AL,1107
889,Pike County,AL,1109
897,Randolph County,AL,1111
905,Russell County,AL,1113
919,St. Clair County,AL,1115
940,Shelby County,AL,1117
966,Sumter County,AL,1119
977,Talladega County,AL,1121
990,Tallapoosa County,AL,1123
1004,Tuscaloosa County,AL,1125
1041,Walker County,AL,1127
1063,Washington County,AL,1129
1078,Wilcox County,AL,1131
1093,Winston County,AL,1133
1106,Aleutians East Borough,AK,2013
1111,Aleutians West Census Area,AK,2016
1118,Anchorage Municipality,AK,2020
1148,Bethel Census Area,AK,2050
1175,Bristol Bay Borough,AK,2060
1178,Denali Borough,AK,2068
1182,Dillingham Census Area,AK,2070
1189,Fairbanks North Star Borough,AK,2090
1202,Haines Borough,AK,2100
1203,Hoonah-Angoon Census Area,AK,2105
1209,Juneau City and Borough,AK,2110
1212,Kenai Peninsula Borough,AK,2122
1227,Ketchikan Gateway Borough,AK,2130
1229,Kodiak Island Borough,AK,2150
1235,Lake and Peninsula Borough,AK,2164
1247,Matanuska-Susitna Borough,AK,2170
1258,Nome Census Area,AK,2180
1272,North Slope Borough,AK,2185
1281,Northwest Arctic Borough,AK,2188
1292,Petersburg Census Area,AK,2195
1295,Prince of Wales-Hyder Census Area,AK,2198
1303,Sitka City and Borough,AK,2220
1304,Skagway Municipality,AK,2230
1305,Southeast Fairbanks Census Area,AK,2240
1312,Valdez-Cordova Census Area,AK,2261
1320,Wade Hampton Census Area,AK,2270
1332,Wrangell City and Borough,AK,2275
1334,Yakutat City and Borough,AK,2282
1335,Yukon-Koyukuk Census Area,AK,2290
1366,Apache County,AZ,4001
1395,Cochise County,AZ,4003
1420,Coconino County,AZ,4005
1448,Gila County,AZ,4007
1460,Graham County,AZ,4009
1471,Greenlee County,AZ,4011
1475,La Paz County,AZ,4012
1483,Maricopa County,AZ,4013
1676,Mohave County,AZ,4015
1707,Navajo County,AZ,4017
1735,Pima County,AZ,4019
1806,Pinal County,AZ,4021
1839,Santa Cruz County,AZ,4023
1848,Yavapai County,AZ,4025
1884,Yuma County,AZ,4027
1895,Arkansas County,AR,5001
1906,Ashley County,AR,5003
1916,Baxter County,AR,5005
1932,Benton County,AR,5007
1957,Boone County,AR,5009
1967,Bradley County,AR,5011
1972,Calhoun County,AR,5013
