,assisted_housing_count,active_finance,gun incident count,% of adults < high school dip,avg unemploy rate 2015_2020,clusters,cluster
0,1,0,40,11.5,4.25,1,purple
1,12,7,86,9.2,4.533333333333334,1,purple
2,3,1,21,26.8,6.533333333333332,1,purple
3,1,1,8,20.9,5.233333333333333,1,purple
4,2,0,21,19.5,4.216666666666666,1,purple
5,2,1,25,15.0,6.233333333333333,1,purple
6,9,5,96,15.6,5.683333333333334,1,purple
7,1,1,22,18.4,4.9,1,purple
8,1,1,14,18.4,4.316666666666666,1,purple
9,1,1,21,18.2,4.45,1,purple
10,3,1,2,19.4,8.950000000000001,1,purple
11,2,0,1,23.3,4.583333333333333,1,purple
12,2,1,8,21.0,4.783333333333332,1,purple
13,4,3,33,14.1,4.599999999999999,1,purple
14,4,3,40,14.8,5.9,1,purple
15,2,0,4,15.7,6.75,1,purple
16,5,3,19,16.6,5.4,1,purple
17,4,3,32,18.4,4.066666666666667,1,purple
18,6,3,33,13.9,4.849999999999999,1,purple
19,7,5,142,18.2,8.200000000000001,1,purple
20,2,2,40,25.2,4.65,1,purple
21,1,0,44,13.4,4.1000000000000005,1,purple
22,4,4,28,18.9,5.483333333333333,1,purple
23,13,7,76,15.4,5.333333333333333,1,purple
24,4,3,1,17.4,5.166666666666667,1,purple
25,4,3,22,22.8,4.616666666666667,1,purple
26,1,0,11,19.7,4.55,1,purple
27,2,2,8,20.8,8.666666666666666,1,purple
28,2,2,9,16.0,6.683333333333334,1,purple
29,3,0,4,20.6,5.183333333333335,1,purple
30,9,7,90,14.0,4.833333333333333,1,purple
31,4,2,23,16.8,5.1000000000000005,1,purple
32,62,39,1435,9.9,4.783333333333333,0,pink
33,3,2,2,17.7,4.7,1,purple
34,16,9,55,12.6,5.2,1,purple
35,4,2,11,20.7,5.333333333333333,1,purple
36,9,5,131,9.1,4.366666666666666,1,purple
37,5,1,83,15.3,4.25,1,purple
38,5,2,27,18.2,6.833333333333333,1,purple
39,12,8,592,8.3,4.216666666666668,1,purple
40,4,2,13,16.2,5.883333333333334,1,purple
41,3,2,6,20.4,5.216666666666668,1,purple
42,6,4,51,18.4,4.2,1,purple
43,64,40,703,13.5,5.866666666666666,0,pink
44,2,1,3,14.4,7.533333333333334,1,purple
45,18,17,494,13.3,5.2,1,purple
46,9,7,124,15.9,4.366666666666667,1,purple
47,5,2,9,17.2,8.499999999999998,1,purple
48,3,0,36,15.0,5.133333333333334,1,purple
49,2,1,5,20.4,4.633333333333334,1,purple
50,3,2,55,16.2,4.7,1,purple
51,2,1,20,15.4,4.266666666666667,1,purple
52,1,1,55,7.3,3.45,1,purple
53,4,1,12,13.3,6.65,1,purple
54,11,7,39,19.7,5.5,1,purple
55,2,1,40,19.3,5.0,1,purple
56,17,11,250,11.7,4.733333333333333,1,purple
57,8,5,25,18.2,5.55,1,purple
58,3,2,11,23.5,12.066666666666668,1,purple
59,2,2,2,21.2,5.3500000000000005,1,purple
60,24,16,480,6.1,5.4,1,purple
61,1,1,38,19.1,12.516666666666666,1,purple
62,2,2,18,13.7,8.266666666666666,1,purple
63,14,11,243,5.5,5.483333333333333,1,purple
64,1,1,4,2.5,9.983333333333334,1,purple
65,8,6,93,3.6,4.616666666666666,1,purple
66,5,2,78,7.3,7.583333333333333,1,purple
67,1,1,16,7.2,6.533333333333334,1,purple
68,9,7,167,7.1,7.366666666666667,1,purple
69,1,1,14,17.5,13.883333333333333,1,purple
70,1,1,3,5.3,4.550000000000001,1,purple
71,1,0,9,4.6,7.650000000000001,1,purple
72,2,1,8,19.6,11.35,1,purple
73,6,3,47,12.6,6.266666666666666,1,purple
74,3,2,43,9.5,6.533333333333334,1,purple
75,2,0,8,13.7,6.75,1,purple
76,1,1,10,14.7,5.999999999999999,1,purple
77,125,81,1526,12.3,4.95,0,pink
78,4,1,83,13.9,7.05,1,purple
79,2,1,17,16.6,8.533333333333333,1,purple
80,31,21,354,11.6,5.283333333333333,1,purple
81,5,2,68,14.2,5.75,1,purple
82,1,1,5,23.4,10.1,1,purple
83,14,14,42,9.0,5.283333333333334,1,purple
84,6,3,51,26.7,18.166666666666668,1,purple
85,5,2,8,16.1,3.516666666666667,1,purple
86,5,4,6,16.7,6.533333333333334,1,purple
87,5,1,38,11.3,4.666666666666667,1,purple
88,13,10,72,11.4,3.266666666666667,1,purple
89,6,5,11,12.6,4.0,1,purple
90,2,1,4,19.0,4.916666666666666,1,purple
91,4,3,6,13.7,3.9166666666666665,1,purple
92,2,0,2,19.2,7.683333333333333,1,purple
93,3,1,5,10.0,4.5,1,purple
94,4,4,6,17.5,5.316666666666666,1,purple
95,2,2,12,14.1,5.716666666666666,1,purple
96,2,1,4,14.1,5.516666666666667,1,purple
97,17,13,266,10.7,3.633333333333333,1,purple
98,3,1,22,15.0,4.133333333333334,1,purple
99,6,5,21,17.4,5.3,1,purple
100,2,2,15,16.4,4.683333333333333,1,purple
101,3,2,1,16.1,5.05,1,purple
102,6,4,5,18.9,5.566666666666666,1,purple
103,4,3,18,13.1,5.733333333333333,1,purple
104,10,8,52,8.2,3.9,1,purple
